Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,G+A-PK,xG+xAG,PrgC,PrgP,PrgR,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_stats_shooting,PKatt_stats_shooting,xG_stats_shooting,npxG_stats_shooting,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_passing,xAG_stats_passing,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP_stats_passing,Live,Dead,FK_stats_passing_types,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_passing_types,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_defense,Tkl%,Lost,Blocks_stats_defense,Sh_stats_defense,Pass,Int,Tkl+Int,Clr,Err,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA,GCA90,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_possession,PrgDist_stats_possession,PrgC_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,PrgR_stats_possession,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld_stats_misc,Off_stats_misc,Crs_stats_misc,Int_stats_misc,TklW_stats_misc,PKwon,PKcon,OG,Recov,Won,Lost_stats_misc,Won%,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,position,Gls_p90,Ast_p90,xG_p90,xAG_p90,PrgC_p90,PrgP_p90,PrgR_p90,Tkl_p90,TklW_p90,Int_p90,Blocks_stats_defense_p90,Clr_p90,KP_p90,PPA_p90,SCA_p90,Recov_p90,Touches_p90,Carries_p90,Won_p90,ga_p90_2425,ga_p90_current,form_arrow,attack_score,press_score,buildup_score,defend_score,aerial_score,fit_highpress,fit_tikitaka,fit_counter,fit_gegenpresss,quality_score,combined_fit_highpress,combined_fit_tikitaka,combined_fit_counter,combined_fit_gegenpresss,value_m,discipline,fit_parkthebus,fit_longball,fit_highline,fit_false9,combined_fit_parkthebus,combined_fit_longball,combined_fit_highline,combined_fit_false9,name_normalized,birth_year,player_image_url,date_of_birth,player_name,player_id,market_value_current,final_value,sub_position,fit_gegenpress,fit_high_press,fit_tiki-taka,fit_counter_attack,fit_park_the_bus,fit_long_ball,fit_high_line,fit_false_9,combined_fit_gegenpress,combined_fit_high_press,combined_fit_tiki-taka,combined_fit_counter_attack,combined_fit_park_the_bus,combined_fit_long_ball,combined_fit_high_line,combined_fit_false_9,pct_Save%,pct_PSxG+/-,pct_#OPA/90,pct_AvgDist,pct_Launch%,pct_Tkl_p90,pct_Int_p90,pct_Clr_p90,pct_PrgP_p90,pct_Won_p90,pct_SCA_p90,pct_press_score,pct_KP_p90,pct_xG_p90,pct_Gls_p90,pct_PrgC_p90,pct_Sh/90,pct_Mid 3rd_stats_possession,min_conf,league_mult,raw_score,score_adjusted,stats_pct,value_pct,quality_final
875,Wladimiro Falcone,it ITA,GK,Lecce,it Serie A,29.0,1995.0,38,38,3420,38.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,731,1200,60.9,22646,17716,0,0.0,0.1,0.0,0,22,0,0,0,892,303,125,0,1,0,0,0,0,0,0,731,0,0,0,0,0,0,,0,0,0,0,0,0,29,3,11,0.29,8,3,0,0,0,0,1,0.03,1321,1174,1315,6,0,0,1321,0,0,,0,,727,3904,2291,0,0,0,1,0,585,0,2,0,0,1,10,0,0,0,0,0,1,0,32,13,0,100.0,58.0,1.53,181.0,125.0,72.4,8.0,10.0,20.0,9.0,23.7,10.0,8.0,1.0,1.0,53.8,0.26,-1.2,-0.03,220.0,656.0,33.5,1017.0,120.0,51.9,39.1,590.0,29.0,4.9,19.0,0.5,11.0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7631578947368421,0.0,0.0,0.2894736842105263,0.8421052631578947,34.76315789473684,19.13157894736842,0.3421052631578947,0.0,0.0,↓,0.0072189733593242,0.0222586746369028,0.0400575009882965,0.0213520749665327,0.0311403508771929,0.0255464600060705,0.0266461774293261,0.0116209868773214,0.0242524437793828,0.4279,0.6102185840024282,0.6106584709717304,0.6046483947509286,0.6097009775117531,3.5,0.8666666666666667,0.2029599098146974,0.018952422807874,0.1002945972998083,0.0120172502964889,0.681183963925879,0.6075809691231496,0.6401178389199234,0.6048069001185956,wladimiro falcone,1995.0,https://img.a.transfermarkt.technology/portrait/header/238537-1693308504.jpg,1995-04-12,Wladimiro Falcone (238537),238537.0,3.5,3.5,Traditional Keeper,0.3167,0.2903,0.316,0.2891,0.2891,0.3187,0.3157,0.3031,0.1409,0.1303,0.1406,0.1299,0.1299,0.1417,0.1405,0.1355,0.692,0.341,0.127,0.127,0.922,,,,,,,,,,,,,,1.0,0.938,25.0892,23.5336696,0.7662337662337663,0.43506493506493504,0.6337662337662338
2118,Jordan Pickford,eng ENG,GK,Everton,eng Premier League,30.0,1994.0,38,38,3420,38.0,0,1,1,0,0,0,7,0,0.0,0.0,0.4,0.4,0.03,0.01,0,0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,1057,1595,66.3,33692,25121,1,0.4,0.2,0.6,2,74,8,0,0,1167,419,188,0,7,0,0,0,0,0,0,1057,1,0,1,0,0,2,50.0,1,0,0,0,1,2,30,2,13,0.34,12,1,0,0,0,0,2,0.05,1708,1116,1640,69,0,0,1708,0,0,,0,,989,5989,3568,0,0,0,2,0,871,0,7,0,0,0,7,0,0,1,0,0,0,0,36,5,1,83.3,44.0,1.16,163.0,117.0,73.0,11.0,15.0,12.0,12.0,31.6,2.0,0.0,2.0,0.0,48.8,0.3,4.8,0.13,304.0,806.0,37.7,1355.0,161.0,48.8,39.7,558.0,31.0,5.6,57.0,1.5,15.2,GK,0.0,0.0263157894736842,0.0,0.0105263157894736,0.0,0.0,0.0,0.0263157894736842,0.0,0.0263157894736842,0.0,0.7894736842105263,0.0526315789473684,0.2105263157894736,0.3421052631578947,0.9473684210526316,44.94736842105263,26.026315789473685,0.131578947368421,0.0263157894736842,0.0,↓,0.0226967606087537,0.0293984292165887,0.0649016559450377,0.0245981000023485,0.0119770580296896,0.0350589757980064,0.0451395419984627,0.0243287114933844,0.0238430041163039,0.8015,0.6140235903192026,0.618055816799385,0.6097314845973537,0.6095372016465216,18.0,0.5333333333333333,0.1321221311245883,0.0126502861340044,0.1390504044509342,0.028421859708127,0.6528488524498353,0.6050601144536017,0.6556201617803736,0.6113687438832508,jordan pickford,1994.0,https://img.a.transfermarkt.technology/portrait/header/130164-1668499964.jpg,1994-03-07,Jordan Pickford (130164),130164.0,18.0,18.0,Sweeper Keeper,0.36,0.4226,0.3185,0.2891,0.2908,0.3169,0.4336,0.3606,0.1643,0.1894,0.1477,0.136,0.1367,0.1471,0.1938,0.1646,0.705,0.909,0.821,0.782,0.903,,,,,,,,,,,,,,1.0,1.0,27.6005,27.6005,0.948051948051948,0.8116883116883117,0.8935064935064935
1477,Bernd Leno,de GER,GK,Fulham,eng Premier League,32.0,1992.0,38,38,3420,38.0,0,1,1,0,0,0,5,0,0.0,0.0,0.1,0.1,0.03,0.0,0,0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,1149,1404,81.8,28206,16978,1,0.1,0.1,0.9,2,16,2,0,0,1160,243,71,0,0,0,0,0,0,0,0,1149,2,2,2,0,0,2,100.0,0,1,0,1,0,2,11,5,6,0.16,6,0,0,0,0,0,2,0.05,1479,1190,1466,13,0,0,1479,0,0,,0,,955,3956,2233,0,0,0,0,0,862,0,5,0,0,0,4,0,0,0,2,0,0,0,50,9,1,90.0,54.0,1.42,159.0,106.0,67.9,15.0,9.0,14.0,5.0,13.2,4.0,3.0,1.0,0.0,48.9,0.29,-3.1,-0.08,141.0,367.0,38.4,1231.0,167.0,22.7,28.9,507.0,23.0,4.5,33.0,0.87,13.3,GK,0.0,0.0263157894736842,0.0,0.0026315789473684,0.0,0.0,0.0,0.0526315789473684,0.0526315789473684,0.0,0.0263157894736842,0.2894736842105263,0.0526315789473684,0.0526315789473684,0.1578947368421052,1.3157894736842106,38.92105263157895,25.13157894736842,0.2368421052631578,0.0263157894736842,0.0,↓,0.0093327825956528,0.0440493779510278,0.0616776053017965,0.0145502398803529,0.0215587044534412,0.0387252819999791,0.0424485130197997,0.0170019123581857,0.0310519250589624,0.3332,0.6154901127999917,0.6169794052079198,0.6068007649432743,0.612420770023585,10.0,0.6666666666666667,0.1497529663784932,0.0159384675525498,0.2175116505361693,0.0235218959771429,0.6599011865513973,0.6063753870210199,0.6870046602144677,0.6094087583908572,bernd leno,1992.0,https://img.a.transfermarkt.technology/portrait/header/72476-1642711733.jpg,1992-03-04,Bernd Leno (72476),72476.0,10.0,10.0,Sweeper Keeper,0.3675,0.3795,0.3256,0.2891,0.291,0.3018,0.3857,0.3048,0.166,0.1708,0.1492,0.1346,0.1354,0.1397,0.1732,0.1409,0.416,0.188,0.377,0.445,0.179,,,,,,,,,,,,,,1.0,1.0,22.8956,22.8956,0.7337662337662337,0.6948051948051948,0.7181818181818181
973,Joan García,es ESP,GK,Espanyol,es La Liga,23.0,2001.0,38,38,3420,38.0,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,0.0,0.0,0,1,0,1,1,100.0,0.03,0.03,0.0,0.0,10.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,901,1259,71.6,25475,19491,0,0.0,0.1,0.0,0,25,1,0,1,913,343,127,0,5,0,0,0,0,0,0,901,0,0,0,0,0,1,0.0,1,1,0,1,0,0,18,4,9,0.24,5,4,0,0,0,0,1,0.03,1348,1137,1341,7,1,1,1348,0,0,,0,,781,4759,3182,0,0,0,2,0,524,0,2,0,0,0,7,0,0,0,0,0,0,0,35,21,1,95.5,51.0,1.34,192.0,140.0,75.5,11.0,9.0,18.0,8.0,21.1,6.0,4.0,2.0,0.0,57.7,0.28,7.7,0.2,194.0,526.0,36.9,1040.0,197.0,37.6,34.8,670.0,64.0,9.6,35.0,0.92,12.0,GK,0.0,0.0,0.0026315789473684,0.0,0.0,0.0263157894736842,0.0,0.0,0.0,0.0,0.0263157894736842,0.4736842105263157,0.0,0.0263157894736842,0.2368421052631578,0.9210526315789472,35.473684210526315,20.55263157894737,0.5526315789473685,0.0,0.0,↓,0.0073131219454748,0.0247717508055853,0.0457529526593285,0.0155504222403398,0.0503036437246963,0.0262015926067603,0.0300247630744238,0.0128071515046031,0.0288493918940517,0.7641,0.6104806370427042,0.6120099052297695,0.6051228606018413,0.6115397567576206,25.0,0.8666666666666667,0.2018188814637768,0.025708717018505,0.1559521924525677,0.0137258857977985,0.6807275525855108,0.610283486807402,0.6623808769810271,0.6054903543191195,joan garcia,2001.0,https://img.a.transfermarkt.technology/portrait/header/561613-1747386081.jpg,2001-05-04,Joan García (561613),561613.0,25.0,25.0,Sweeper Keeper,0.3503,0.3777,0.3218,0.2891,0.2891,0.3104,0.3842,0.3023,0.156,0.1669,0.1446,0.1315,0.1315,0.14,0.1695,0.1368,0.851,0.955,0.432,0.247,0.649,,,,,,,,,,,,,,1.0,0.932,29.389100000000003,27.390641200000005,0.9415584415584416,0.935064935064935,0.938961038961039
255,Federico Baschirotto,it ITA,DF,Lecce,it Serie A,27.0,1996.0,38,38,3420,38.0,2,0,2,2,0,0,3,0,1.2,1.2,0.2,1.4,0.05,0.04,13,71,5,22,8,36.4,0.58,0.21,0.09,0.25,11.8,0,0,0,1.2,1.2,0.06,0.8,0.8,1409,1635,86.2,28512,9707,0,0.2,0.5,-0.2,4,51,5,0,71,1462,170,78,0,15,5,9,0,0,0,0,1409,37,25,30,5,2,28,78.6,6,44,32,12,23,60,237,2,17,0.45,13,2,0,2,0,0,1,0.03,2043,370,1242,736,73,36,2043,5,4,80.0,0,0.0,940,4670,2500,13,9,0,13,1,1157,5,3,0,0,31,7,0,5,23,25,0,3,0,93,104,55,65.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DF,0.0526315789473684,0.0,0.031578947368421,0.0052631578947368,0.3421052631578947,1.868421052631579,0.131578947368421,0.9736842105263158,0.6578947368421053,0.6052631578947368,1.1578947368421053,6.2368421052631575,0.1052631578947368,0.131578947368421,0.4473684210526316,2.4473684210526314,53.76315789473684,24.73684210526316,2.736842105263158,0.0526315789473684,0.08,↑,0.0351869679149788,0.2303360175750951,0.1097741496716811,0.385230296585625,0.2491228070175438,0.2526919276975713,0.1115103687253532,0.047664614031847,0.2737562846883398,0.3428,0.3340918325814558,0.2776192089925686,0.2520809071151662,0.3425175753777632,3.6,0.8,0.4742662410909548,0.2053049920600907,0.3135735208085958,0.0445193857509402,0.4227215579388093,0.3151370583264636,0.3584444698258656,0.2508228158028034,federico baschirotto,1996.0,https://img.a.transfermarkt.technology/portrait/header/351955-1730126092.jpg,1996-09-20,Federico Baschirotto (351955),351955.0,3.6,3.6,Stopper,0.3812,0.6048,0.392,0.4432,0.8651,0.4716,0.3999,0.892,0.2631,0.3525,0.2674,0.2879,0.4566,0.2992,0.2705,0.4674,,,,,,0.08,0.141,0.919,0.075,0.898,,,,,,,,,1.0,0.938,0.3428,0.32154639999999995,0.5333333333333333,0.3506172839506173,0.46024691358024694
579,Nathan Collins,ie IRL,DF,Brentford,eng Premier League,23.0,2001.0,38,38,3420,38.0,2,3,5,2,0,0,5,0,2.5,2.5,1.8,4.3,0.13,0.11,32,127,18,17,6,35.3,0.45,0.16,0.12,0.33,10.7,0,0,0,2.5,2.5,0.15,-0.5,-0.5,1705,1985,85.9,32826,10799,3,1.8,1.6,1.2,10,111,7,2,127,1897,83,69,3,6,8,11,0,0,0,0,1705,40,24,23,12,5,36,61.1,14,77,57,20,34,74,226,3,30,0.79,22,2,1,3,2,0,8,0.21,2435,385,1275,1002,169,69,2435,12,6,50.0,5,41.7,1289,6994,4130,32,12,1,20,8,1490,18,5,0,0,29,31,6,8,34,24,2,0,0,162,117,69,62.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DF,0.0526315789473684,0.0789473684210526,0.0657894736842105,0.0473684210526315,0.8421052631578947,3.3421052631578947,0.4736842105263157,1.0526315789473684,0.631578947368421,0.8947368421052632,2.026315789473684,5.947368421052632,0.2631578947368421,0.1842105263157894,0.7894736842105263,4.2631578947368425,64.07894736842105,33.921052631578945,3.0789473684210527,0.131578947368421,0.1301204819277108,↓,0.0721321456588294,0.3175048178437406,0.1899849692392907,0.4784760990988377,0.2802631578947369,0.3402922324993798,0.1801330918860423,0.0940416516373255,0.3484372231702639,0.5026,0.4124145259335279,0.3483508696881929,0.3139142935887062,0.4156725222018815,28.0,0.6666666666666667,0.4847182728160665,0.2484728978475382,0.3678381297431175,0.1047101565106116,0.4701849420602025,0.3756867920727912,0.423432884831023,0.3181816955380206,nathan collins,2001.0,https://img.a.transfermarkt.technology/portrait/header/469050-1688381729.jpg,2001-04-30,Nathan Collins (469050),469050.0,28.0,28.0,Stopper,0.4517,0.3483,0.9946,0.5441,0.3598,0.5414,0.4819,0.9618,0.3324,0.291,0.5495,0.3693,0.2956,0.3682,0.3444,0.5364,,,,,,0.117,0.394,0.899,0.504,0.928,,,,,,,,,1.0,1.0,0.5025999999999999,0.5025999999999999,0.8827160493827161,0.8938271604938272,0.8871604938271606
2392,Matz Sels,be BEL,GK,Nott'ham Forest,eng Premier League,32.0,1992.0,38,38,3420,38.0,0,0,0,0,0,0,4,0,0.0,0.0,0.4,0.4,0.0,0.01,1,2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,519,998,52.0,19289,16407,0,0.4,0.3,-0.4,2,45,4,0,2,610,375,105,0,0,0,0,0,0,0,0,519,1,1,1,0,0,1,100.0,0,0,0,0,0,1,26,1,6,0.16,3,3,0,0,0,0,0,0.0,1102,833,1082,20,0,0,1102,0,0,,0,,528,3230,1697,1,1,1,0,0,426,0,4,0,0,1,10,0,0,0,1,0,1,0,17,15,2,88.2,46.0,1.21,165.0,119.0,73.9,19.0,8.0,11.0,13.0,34.2,3.0,3.0,0.0,0.0,49.1,0.29,3.1,0.08,244.0,698.0,35.0,715.0,83.0,68.4,44.7,710.0,19.0,2.7,12.0,0.32,8.7,GK,0.0,0.0,0.0,0.0105263157894736,0.0263157894736842,0.0526315789473684,0.0,0.0263157894736842,0.0263157894736842,0.0,0.0,0.6842105263157895,0.0526315789473684,0.1052631578947368,0.1578947368421052,0.4473684210526316,29.0,13.894736842105264,0.3947368421052631,0.0,0.0,↓,0.0140040327932188,0.0130494169445047,0.0228573991722721,0.0212201230101002,0.0359311740890688,0.0174622252097368,0.0182397928130026,0.0121978270110655,0.0208125327470446,0.5958,0.6069848900838948,0.607295917125201,0.6048791308044261,0.6083250130988178,7.0,0.7333333333333334,0.1763590057220228,0.019921435932098,0.0491549559170377,0.0158085826762973,0.6705436022888092,0.6079685743728392,0.619661982366815,0.606323433070519,matz sels,1992.0,https://img.a.transfermarkt.technology/portrait/header/127202-1665067633.jpg,1992-02-26,Matz Sels (127202),127202.0,7.0,7.0,Traditional Keeper,0.3036,0.2898,0.3137,0.2902,0.29,0.3284,0.303,0.3108,0.1333,0.1277,0.1373,0.1279,0.1278,0.1432,0.133,0.1361,0.753,0.815,0.045,0.026,0.987,,,,,,,,,,,,,,1.0,1.0,27.089300000000005,27.089300000000005,0.9285714285714286,0.5876623376623377,0.7922077922077922
2187,David Raya,es ESP,GK,Arsenal,eng Premier League,28.0,1995.0,38,38,3420,38.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,14,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,1040,1413,73.6,24784,17222,0,0.0,0.1,0.0,1,45,3,0,14,1172,238,91,0,3,0,0,0,0,0,0,1040,0,0,0,0,0,2,0.0,2,0,0,0,2,2,21,9,5,0.13,4,1,0,0,0,0,1,0.03,1480,880,1388,92,0,0,1480,1,1,100.0,0,0.0,921,4542,2729,0,0,0,1,0,841,0,3,0,0,1,10,0,0,2,0,0,1,0,41,13,0,100.0,34.0,0.89,120.0,86.0,74.2,20.0,14.0,4.0,13.0,34.2,3.0,3.0,0.0,0.0,35.1,0.28,1.1,0.03,149.0,478.0,31.2,1263.0,178.0,29.9,29.9,402.0,53.0,13.2,66.0,1.74,17.2,GK,0.0,0.0,0.0,0.0,0.0,0.3684210526315789,0.0,0.0,0.0,0.0526315789473684,0.0,0.5526315789473685,0.0263157894736842,0.0789473684210526,0.131578947368421,1.0789473684210529,38.94736842105263,24.23684210526316,0.3421052631578947,0.0,0.0,↓,0.0075913776877251,0.0348173963203384,0.0665021637503455,0.0204813405669461,0.0311403508771929,0.0368535330803221,0.0424919744455579,0.0170961215939316,0.030314121021204,0.7509,0.6147414132321288,0.6169967897782231,0.6068384486375726,0.6121256484084816,40.0,0.8,0.185787682895324,0.0200341480963002,0.175172745648519,0.021804498228737,0.6743150731581296,0.6080136592385201,0.6700690982594075,0.6087217992914948,david raya,1995.0,https://img.a.transfermarkt.technology/portrait/header/262749-1668168018.jpg,1995-09-15,David Raya (262749),262749.0,40.0,40.0,Sweeper Keeper,0.3701,0.4441,0.334,0.3208,0.2907,0.3059,0.4571,0.3747,0.1677,0.1973,0.1532,0.1479,0.1359,0.142,0.2025,0.1695,0.776,0.614,0.893,0.916,0.393,,,,,,,,,,,,,,1.0,1.0,26.780600000000003,26.780600000000003,0.9155844155844156,0.9935064935064936,0.9467532467532468
2531,Mile Svilar,rs SRB,GK,Roma,it Serie A,24.0,1999.0,38,38,3420,38.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,1,0,0.0,0.03,0.0,0.0,,10.5,0,0,0,0.0,0.0,0.05,0.0,0.0,1151,1459,78.9,29765,16946,0,0.0,0.0,0.0,0,15,0,0,2,1187,271,71,0,2,0,0,0,0,0,0,1151,0,0,0,0,0,0,,0,0,0,0,0,0,12,2,6,0.16,5,1,0,0,0,0,0,0.0,1531,1226,1522,8,1,1,1531,0,0,,0,,944,4802,2705,0,0,0,0,1,874,0,1,0,0,0,8,0,0,0,0,0,0,0,53,6,1,85.7,35.0,0.92,151.0,117.0,79.5,20.0,9.0,9.0,16.0,42.1,4.0,4.0,0.0,0.0,42.5,0.26,8.5,0.22,124.0,413.0,30.0,1258.0,170.0,23.8,30.6,495.0,30.0,6.1,33.0,0.87,13.7,GK,0.0,0.0,0.0,0.0,0.0,0.0526315789473684,0.0,0.0,0.0,0.0,0.0,0.3157894736842105,0.0,0.0,0.1578947368421052,1.394736842105263,40.28947368421053,24.84210526315789,0.1578947368421052,0.0,0.0,↓,0.0039376218323586,0.0398502078176808,0.0617843313925162,0.0088353413654618,0.0143724696356275,0.0349325725969822,0.0400434938095018,0.0143256771946825,0.0257270566591127,0.8359,0.6139730290387929,0.6160173975238007,0.605730270877873,0.6102908226636451,25.0,0.9333333333333332,0.1993719818545436,0.0115010769091114,0.2010611243222071,0.0185352994177548,0.6797487927418174,0.6046004307636446,0.6804244497288828,0.6074141197671019,mile svilar,1999.0,https://img.a.transfermarkt.technology/portrait/header/338670-1725532174.jpg,1999-08-27,Mile Svilar (338670),338670.0,25.0,25.0,Sweeper Keeper,0.3714,0.3809,0.326,0.2891,0.2891,0.3024,0.3871,0.3006,0.1651,0.1689,0.147,0.1322,0.1322,0.1375,0.1714,0.1368,0.981,0.961,0.377,0.506,0.208,,,,,,,,,,,,,,1.0,0.938,31.0721,29.1456298,0.9675324675324676,0.935064935064935,0.9545454545454546
2472,David Soria,es ESP,GK,Getafe,es La Liga,31.0,1993.0,38,38,3420,38.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,513,1029,49.9,22539,20168,0,0.0,0.2,0.0,0,51,1,0,1,561,462,158,0,4,0,0,0,0,0,0,513,4,4,4,0,0,5,80.0,1,0,0,0,1,5,21,3,8,0.21,5,3,0,0,0,0,0,0.0,1118,882,1098,20,0,0,1118,0,0,,0,,459,2883,1988,0,0,0,3,0,286,0,2,0,0,0,2,0,0,1,4,0,0,0,28,6,0,100.0,39.0,1.03,126.0,86.0,75.4,11.0,9.0,18.0,9.0,23.7,9.0,8.0,1.0,0.0,42.0,0.29,3.0,0.08,300.0,799.0,37.5,719.0,68.0,72.6,48.8,479.0,25.0,5.2,39.0,1.03,14.7,GK,0.0,0.0,0.0,0.0,0.0,0.0263157894736842,0.0,0.1052631578947368,0.1052631578947368,0.0263157894736842,0.0,0.5526315789473685,0.0,0.0263157894736842,0.2105263157894736,0.7368421052631579,29.42105263157895,12.078947368421051,0.1578947368421052,0.0,0.0,↓,0.0062748713625906,0.0348421456047458,0.0152192965674558,0.0262791275179838,0.0143724696356275,0.0283486703712592,0.0164605388134542,0.0061812949947865,0.0275839720907757,0.7711,0.6113394681485037,0.6065842155253817,0.6024725179979146,0.6110335888363103,3.0,0.8666666666666667,0.1961198772890509,0.0144890279183223,0.0418045937735441,0.0045657889702367,0.6784479509156204,0.6057956111673289,0.6167218375094177,0.6018263155880946,david soria,1993.0,https://img.a.transfermarkt.technology/portrait/header/226012-1696863038.jpg,1993-04-04,David Soria (226012),226012.0,3.0,3.0,Sweeper Keeper,0.3514,0.3936,0.3119,0.2891,0.2938,0.3309,0.401,0.3125,0.152,0.1688,0.1362,0.127,0.1289,0.1438,0.1718,0.1364,0.844,0.802,0.536,0.724,1.0,,,,,,,,,,,,,,1.0,0.932,27.730400000000003,25.844732800000003,0.8766233766233766,0.3961038961038961,0.6844155844155845
